t,J1,J2,J3,J4,J5,J6,GL,GR
0.744000,-0.001057,-0.975803,0.754598,0.391563,-0.507283,0.593271,0.014105,-0.002815
0.748000,-0.001061,-0.975942,0.754762,0.391678,-0.507407,0.593440,0.014117,-0.002812
0.752000,-0.001064,-0.976076,0.754922,0.391791,-0.507528,0.593606,0.014128,-0.002810
0.756000,-0.001068,-0.976207,0.755077,0.391902,-0.507647,0.593767,0.014139,-0.002808
0.760000,-0.001071,-0.976334,0.755229,0.392010,-0.507762,0.593925,0.014150,-0.002806
0.764000,-0.001074,-0.976457,0.755377,0.392117,-0.507875,0.594080,0.014161,-0.002803
0.768000,-0.001078,-0.976577,0.755522,0.392221,-0.507985,0.594230,0.014172,-0.002801
0.772000,-0.001081,-0.976694,0.755662,0.392323,-0.508092,0.594377,0.014183,-0.002799
0.776000,-0.001084,-0.976807,0.755800,0.392423,-0.508197,0.594521,0.014194,-0.002796
0.780000,-0.001087,-0.976916,0.755933,0.392522,-0.508299,0.594661,0.014204,-0.002794
0.784000,-0.001089,-0.977023,0.756063,0.392618,-0.508398,0.594798,0.014215,-0.002792
0.788000,-0.001092,-0.977127,0.756190,0.392712,-0.508496,0.594931,0.014226,-0.002789
0.792000,-0.001094,-0.977228,0.756314,0.392805,-0.508590,0.595062,0.014236,-0.002787
0.796000,-0.001097,-0.977325,0.756435,0.392895,-0.508683,0.595189,0.014247,-0.002784
0.800000,-0.001099,-0.977420,0.756552,0.392984,-0.508773,0.595314,0.014257,-0.002782
0.804000,-0.001101,-0.977513,0.756667,0.393071,-0.508861,0.595435,0.014268,-0.002780
0.808000,-0.001103,-0.977602,0.756778,0.393157,-0.508947,0.595554,0.014278,-0.002777
0.812000,-0.001105,-0.977689,0.756887,0.393241,-0.509031,0.595670,0.014289,-0.002775
0.816000,-0.001106,-0.977774,0.756993,0.393323,-0.509113,0.595783,0.014299,-0.002772
0.820000,-0.001108,-0.977856,0.757096,0.393403,-0.509193,0.595894,0.014309,-0.002770
0.824000,-0.001109,-0.977936,0.757197,0.393482,-0.509270,0.596002,0.014320,-0.002767
0.828000,-0.001111,-0.978014,0.757295,0.393559,-0.509346,0.596107,0.014330,-0.002765
0.832000,-0.001112,-0.978089,0.757390,0.393635,-0.509421,0.596210,0.014340,-0.002762
0.836000,-0.001113,-0.978162,0.757483,0.393709,-0.509493,0.596310,0.014350,-0.002760
0.840000,-0.001114,-0.978234,0.757574,0.393782,-0.509563,0.596409,0.014360,-0.002757
0.844000,-0.001115,-0.978303,0.757663,0.393854,-0.509632,0.596504,0.014370,-0.002755
0.848000,-0.001116,-0.978370,0.757749,0.393923,-0.509700,0.596598,0.014380,-0.002752
0.852000,-0.001116,-0.978435,0.757833,0.393992,-0.509765,0.596689,0.014390,-0.002750
0.856000,-0.001117,-0.978499,0.757915,0.394059,-0.509829,0.596779,0.014400,-0.002747
0.860000,-0.001118,-0.978560,0.757994,0.394125,-0.509892,0.596866,0.014410,-0.002745
0.864000,-0.001118,-0.978620,0.758072,0.394190,-0.509953,0.596951,0.014420,-0.002742
0.868000,-0.001118,-0.978678,0.758148,0.394253,-0.510012,0.597034,0.014430,-0.002740
0.872000,-0.001119,-0.978735,0.758222,0.394315,-0.510070,0.597115,0.014439,-0.002737
0.876000,-0.001119,-0.978790,0.758293,0.394376,-0.510127,0.597194,0.014449,-0.002735
0.880000,-0.001119,-0.978843,0.758363,0.394435,-0.510182,0.597272,0.014459,-0.002732
0.884000,-0.001119,-0.978895,0.758432,0.394494,-0.510236,0.597347,0.014468,-0.002730
0.888000,-0.001119,-0.978945,0.758498,0.394551,-0.510289,0.597421,0.014478,-0.002727
0.892000,-0.001119,-0.978994,0.758563,0.394607,-0.510340,0.597493,0.014487,-0.002724
0.896000,-0.001118,-0.979042,0.758626,0.394662,-0.510390,0.597563,0.014497,-0.002722
0.900000,-0.001118,-0.979088,0.758688,0.394716,-0.510439,0.597632,0.014506,-0.002719
0.904000,-0.001118,-0.979133,0.758748,0.394768,-0.510487,0.597699,0.014516,-0.002717
0.908000,-0.001117,-0.979177,0.758806,0.394820,-0.510533,0.597765,0.014525,-0.002714
0.912000,-0.001117,-0.979220,0.758864,0.394871,-0.510579,0.597829,0.014534,-0.002711
0.916000,-0.001116,-0.979261,0.758920,0.394921,-0.510623,0.597891,0.014544,-0.002709
0.920000,-0.001115,-0.979301,0.758975,0.394969,-0.510666,0.597952,0.014553,-0.002706
0.924000,-0.001115,-0.979341,0.759028,0.395017,-0.510708,0.598012,0.014562,-0.002703
0.928000,-0.001114,-0.979379,0.759080,0.395064,-0.510749,0.598070,0.014571,-0.002701
0.932000,-0.001113,-0.979416,0.759132,0.395110,-0.510789,0.598126,0.014580,-0.002698
0.936000,-0.001112,-0.979452,0.759182,0.395155,-0.510828,0.598182,0.014589,-0.002695
0.940000,-0.001111,-0.979487,0.759231,0.395199,-0.510866,0.598236,0.014598,-0.002693
0.944000,-0.001110,-0.979521,0.759279,0.395242,-0.510903,0.598289,0.014607,-0.002690
0.948000,-0.001109,-0.979554,0.759326,0.395284,-0.510939,0.598341,0.014616,-0.002687
0.952000,-0.001108,-0.979587,0.759373,0.395326,-0.510975,0.598391,0.014625,-0.002685
0.956000,-0.001106,-0.979618,0.759418,0.395366,-0.511009,0.598440,0.014634,-0.002682
0.960000,-0.001105,-0.979649,0.759462,0.395406,-0.511043,0.598488,0.014643,-0.002679
0.964000,-0.001104,-0.979678,0.759506,0.395445,-0.511075,0.598535,0.014652,-0.002677
0.968000,-0.001102,-0.979707,0.759548,0.395483,-0.511107,0.598581,0.014661,-0.002674
0.972000,-0.001101,-0.979735,0.759590,0.395521,-0.511138,0.598626,0.014670,-0.002671
0.976000,-0.001100,-0.979763,0.759631,0.395558,-0.511169,0.598670,0.014678,-0.002669
0.980000,-0.001098,-0.979789,0.759672,0.395594,-0.511199,0.598712,0.014687,-0.002666
